en,ru
I want to go with you.,Я хочу пойти с тобой.
I want to go with you.,Я хочу пойти с тобой.
I want to know if you'll be free tomorrow.,"Я хочу знать, будешь ли ты свободен завтра."
I want to know if you'll be free tomorrow.,"Я хочу знать, будешь ли ты свободен завтра."
I want to know who is coming with us.,"Я хочу знать, кто поедет с нами."
I want to know who is coming with us.,"Я хочу знать, кто поедет с нами."
I want to reach the hotel before it gets dark.,"Я хочу попасть в отель, пока не стемнело."
I want to reach the hotel before it gets dark.,"Я хочу попасть в отель, пока не стемнело."
I want to see them again.,Я хочу увидеть их снова.
I want to see them again.,Я хочу увидеть их снова.
I want to see you again.,Я хочу увидеть тебя снова.
I want to see you again.,Я хочу увидеть тебя снова.
I want to sing a song.,Я хочу спеть песню.
I want to sing a song.,Я хочу спеть песню.
I want to sleep a little more.,Я хочу поспать еще немного.
I want to sleep a little more.,Я хочу ещё немного поспать.
"I want to study abroad, even if my parents are against it.","Я хочу учиться за границей, даже если мои родители против этого."
"I want to study abroad, even if my parents are against it.","Я хочу учиться за границей, даже если мои родители против этого."
I want to travel with you.,Я хочу поехать с тобой.
I want to travel with you.,Я хочу поехать с тобой.
I want you to go to the post office.,"Я хочу, чтобы ты пошел на почту."
I want you to go to the post office.,"Я хочу, чтобы ты пошел на почту."
I want you to go.,"Я хочу, чтобы ты ушел."
I want you to go.,"Я хочу, чтобы ты ушел."
I want you to read this book.,"Я хочу, чтобы ты прочитала эту книгу."
I want you to read this book.,"Я хочу, чтобы ты прочла эту книгу."
I want you to refurbish the house.,"Я хочу, чтобы ты отремонтировал дом."
I want you to refurbish the house.,"Я хочу, чтобы ты отремонтировал дом."
I want you to return it to me as soon as possible.,"Я хочу, чтобы ты как можно скорее вернула мне его."
I want you to return it to me as soon as possible.,"Я хочу, чтобы вы вернули его мне как можно скорее."
I want you to tell me the truth.,"Я хочу, чтобы ты сказал мне правду."
I want you to tell me the truth.,"Я хочу, чтобы ты сказал мне правду."
I want you.,Я хочу тебя.
I want you.,Я хочу тебя.
I want your opinion.,Мне нужно твое мнение.
I want your opinion.,Мне нужно твоё мнение.
"I wanted to buy the book, but I found I had no more than 200 yen with me.","Я хотел купить книгу, но обнаружил, что у меня с собой не более 200 иен."
"I wanted to buy the book, but I found I had no more than 200 yen with me.","Я хотел купить книгу, но обнаружил, что у меня с собой не более 200 иен."
I wanted to do some telephoning.,Я хотел позвонить.
I wanted to do some telephoning.,Я хотел позвонить по телефону.
I wanted to go there.,Я хотел туда пойти.
I wanted to go there.,Я хотел поехать туда.
I wanted to show it to you.,Я хотел показать тебе это.
I wanted to show it to you.,Я хотел показать тебе это.
I was a first year student last year.,Я был студентом первого года обучения в прошлом году.
I was a first year student last year.,В прошлом году я был студентом первого года обучения.
I was about to leave when you telephoned.,"Я собирался уходить, когда ты позвонила."
I was about to leave when you telephoned.,"Я собирался уходить, когда ты позвонила."
I was afraid of getting lost in the dark.,Я боялся заблудиться в темноте.
I was afraid of getting lost in the dark.,Я боялся заблудиться в темноте.
I was agreeably surprised.,Я был очень удивлен.
I was agreeably surprised.,Я был очень удивлен.
I was almost home when the car ran out of gas.,"Я был почти дома, когда у машины кончился бензин."
I was almost home when the car ran out of gas.,"Я был почти дома, когда у машины кончился бензин."
I was almost run over by a car.,Меня чуть не сбила машина.
I was almost run over by a car.,Меня чуть не сбила машина.
I was at a loss for words.,Я потеряла слова.
I was at a loss for words.,Мне не хватало слов.
I was barely able to work.,Я едва могла работать.
I was barely able to work.,Я едва могла работать.
I was beside myself with jealousy when my youngest sister rose in the world.,"Я была рядом с собой с ревностью, когда моя младшая сестра выросла в мире."
I was beside myself with jealousy when my youngest sister rose in the world.,"Я была вне себя от ревности, когда моя младшая сестра выросла в мире."
I was bored because I had seen the movie before.,"Мне было скучно, потому что я уже видел фильм раньше."
I was bored because I had seen the movie before.,"Мне было скучно, потому что я видел фильм раньше."
I was called on in English class.,Меня вызвали на урок английского.
I was called on in English class.,Меня пригласили на урок английского.
I was caught in a shower and was drenched to the skin.,Меня поймали в душе и промыли до кожи.
I was caught in a shower and was drenched to the skin.,Меня поймали в душе и засунули в кожу.
I was caught in a shower on my way home.,Я был пойман в душе по дороге домой.
I was caught in a shower on my way home.,Меня поймали в душе по дороге домой.
I was caught in a shower on my way to the station.,Я был пойман в душе по пути в участок.
I was caught in a shower on my way to the station.,Меня поймали в душе по дороге в участок.
I was caught in a shower.,Я был пойман в душе.
I was caught in a shower.,Меня поймали в душе.
I was caught in the rain and got wet.,Я был пойман под дождём и промокла.
I was caught in the rain and got wet.,Меня поймали под дождем и промокли.
I was caught in the rain.,Меня поймали под дождем.
I was caught in the rain.,Меня поймали под дождем.
I was conscious that something was missing.,"Я осознавал, что чего-то не хватает."
I was conscious that something was missing.,"Я осознавал, что чего-то не хватает."
I was disappointed at there being so little to do.,"Я был разочарован тем, что так мало дел."
I was disappointed at there being so little to do.,"Я была разочарована тем, что было так мало дел."
I was disappointed to see that my bonus was a bit less than I was expecting.,"Я был разочарован, увидев, что мой бонус был немного меньше, чем я ожидал."
I was disappointed to see that my bonus was a bit less than I was expecting.,"Я была разочарована, увидев, что мой бонус немного меньше, чем я ожидала."
I was disappointed with your paper.,Я был разочарован вашей газетой.
I was disappointed with your paper.,Я был разочарован вашей газетой.
I was dog-tired when I got home last night.,"Я был уставшим, когда вернулся домой прошлой ночью."
I was dog-tired when I got home last night.,"Я был уставшим, когда пришёл домой прошлой ночью."
I was expecting it!,Я ждал этого!
I was expecting it!,Я ждал этого!
I was expecting you last night.,Я ждал тебя вчера вечером.
I was expecting you last night.,Я ждал тебя прошлой ночью.
I was forced to accept her proposal.,Я был вынужден принять ее предложение.
I was forced to accept her proposal.,Я был вынужден принять ее предложение.
"I was going to write to you, but I was too busy.","Я собирался написать тебе, но был слишком занят."
"I was going to write to you, but I was too busy.","Я собиралась написать тебе, но была слишком занята."
I was here about a year ago.,Я был здесь около года назад.
I was here about a year ago.,Я был здесь около года назад.
I was in London most of the summer.,Я был в Лондоне большую часть лета.
I was in London most of the summer.,Большую часть лета я был в Лондоне.
I was in the hospital for a week.,Я неделю пробыл в больнице.
I was in the hospital for a week.,Я была в больнице неделю.
I was in the mountains.,Я был в горах.
I was in the mountains.,Я был в горах.
I was just mugged.,Меня только что ограбили.
I was just mugged.,Меня только что ограбили.
I was just thinking of a new job.,Я как раз думал о новой работе.
I was just thinking of a new job.,Я как раз думала о новой работе.
I was keen on classical music in my school days.,Я был очень увлечен классической музыкой в школьные дни.
I was keen on classical music in my school days.,Я был увлечен классической музыкой в школьные дни.
I was late because of the rain.,Я опоздал из-за дождя.
I was late because of the rain.,Я опоздал из-за дождя.
I was late to school.,Я опоздал в школу.
I was late to school.,Я опоздал в школу.
I was laughed at in school today.,Сегодня в школе мне надоело.
I was laughed at in school today.,Меня сегодня смеяли в школе.
I was leaving home when Tom telephoned me.,"Я уезжала из дома, когда Том мне позвонил."
I was leaving home when Tom telephoned me.,"Я уходил из дома, когда Том мне позвонил."
I was moved to tears.,Меня загнали в слёзы.
I was moved to tears.,Меня переполняли слёзы.
I was moved.,Меня перевели.
I was moved.,Меня перевели.
I was nearly hit by a car.,Меня чуть не сбила машина.
I was nearly hit by a car.,Меня чуть не сбила машина.
"I was planning on going to the beach today, but then it started to rain.","Я собирался сегодня на пляж, но потом начался дождь."
"I was planning on going to the beach today, but then it started to rain.","Я планировал сегодня поехать на пляж, но потом начался дождь."
I was rereading the letters you sent to me.,"Я перечитывала письма, которые ты мне прислал."
I was rereading the letters you sent to me.,"Я перечитывал письма, которые ты мне прислал."
I was so excited that I could not fall asleep.,"Я так взволнована, что не могла уснуть."
I was so excited that I could not fall asleep.,"Я был так взволнован, что не мог уснуть."
I was taking a bath when the telephone rang.,"Я принимал ванну, когда звонил телефон."
I was taking a bath when the telephone rang.,"Я принимал ванну, когда звонил телефон."
I was too astonished to speak.,"Я был слишком удивлен, чтобы говорить."
I was too astonished to speak.,"Я был слишком удивлен, чтобы говорить."
I was too surprised to speak.,"Я был слишком удивлен, чтобы говорить."
I was too surprised to speak.,"Я был слишком удивлен, чтобы говорить."
I was trying to kill time.,Я пытался убить время.
I was trying to kill time.,Я пытался убить время.
"I was unwilling to agree to the proposal, but it seemed that I had no choice.","Я не хотел соглашаться с предложением, но, похоже, у меня не было выбора."
"I was unwilling to agree to the proposal, but it seemed that I had no choice.","Я не хотел соглашаться с этим предложением, но казалось, что у меня нет выбора."
I was used to studying when I was a student.,"Я привыкла учиться, когда была студенткой."
I was used to studying when I was a student.,"Я привыкла учиться, когда была студенткой."
"I was very careful, but I caught a cold.","Я был очень осторожен, но простудился."
"I was very careful, but I caught a cold.","Я был очень осторожен, но простудился."
I was very disappointed at the news.,Я был очень разочарован новостями.
I was very disappointed at the news.,Я был очень разочарован новостями.
I was very glad to hear the news.,Я был очень рад услышать новости.
I was very glad to hear the news.,Я был очень рад услышать новости.
I was very hungry.,Я был очень голоден.
I was very hungry.,Я был очень голоден.
I was very scared of snakes.,Я очень боялась змей.
I was very scared of snakes.,Я очень боялась змей.
I was very surprised at the news.,Я был очень удивлен новостями.
I was very surprised at the news.,Я был очень удивлен новостями.
I was watching TV when the telephone rang.,"Я смотрел телевизор, когда звонил телефон."
I was watching TV when the telephone rang.,"Я смотрел телевизор, когда зазвонил телефон."
I was wondering if you were going to show up today.,"Я хотел спросить, не придешь ли ты сегодня."
I was wondering if you were going to show up today.,"Я подумал, не придешь ли ты сегодня."
I wasn't being mindful and got on a wrong bus by mistake.,Я не помню и по ошибке сел не в тот автобус.
I wasn't being mindful and got on a wrong bus by mistake.,Я не вспоминал и по ошибке сел не в тот автобус.
I watch television.,Я смотрю телевизор.
I watch television.,Я смотрю телевизор.
I watched TV this morning.,Я смотрел телевизор сегодня утром.
I watched TV this morning.,Я смотрел телевизор сегодня утром.
I weep for my lost youth.,Я плачу о своей потерянной юности.
I weep for my lost youth.,Я плачу за свою потерянную молодость.
I went home and ate a hearty breakfast.,Я пошла домой и съела сердечный завтрак.
I went home and ate a hearty breakfast.,Я пошла домой и съела сердечный завтрак.
I went into details.,Я в подробностях.
I went into details.,Я разобрался в деталях.
I went to bed later than usual.,"Я легла спать позже, чем обычно."
I went to bed later than usual.,"Я легла спать позже, чем обычно."
I went to drink a beer with friends.,Я пошла выпить пива с друзьями.
I went to drink a beer with friends.,Я пошла выпить пива с друзьями.
I went to the South Pacific for a summer of romantic adventure.,Я поехал в Южный Тихий океан на лето романтических приключений.
I went to the South Pacific for a summer of romantic adventure.,Я поехал в Южный Тихий океан на лето романтических приключений.
I went to the airport by taxi.,Я поехал в аэропорт на такси.
I went to the airport by taxi.,Я поехал в аэропорт на такси.
I went to the zoo yesterday.,Я вчера ходил в зоопарк.
I went to the zoo yesterday.,Я вчера ходил в зоопарк.
"I will ask him about it tomorrow, then.",Тогда я спрошу его об этом завтра.
"I will ask him about it tomorrow, then.",Тогда я спрошу его об этом завтра.
I will be able to see you tomorrow unless something unexpected turns up.,"Я смогу увидеть тебя завтра, если не появится что-нибудь неожиданное."
I will be able to see you tomorrow unless something unexpected turns up.,"Я смогу увидеть тебя завтра, если не появится что-нибудь неожиданное."
I will be back soon.,Я скоро вернусь.
I will be back soon.,Я скоро вернусь.
I will be glad to help you.,Я буду рад помочь тебе.
I will be glad to help you.,Я с радостью помогу тебе.
"I will be glad, if I can be of any service to you.","Я буду рад, если смогу вам чем-нибудь помочь."
"I will be glad, if I can be of any service to you.","Я буду рад, если смогу вам чем-нибудь помочь."
I will be pleased to help you.,Я буду рад помочь тебе.
I will be pleased to help you.,Я с радостью помогу тебе.
I will be very happy to accept your invitation.,Я буду очень рад принять ваше приглашение.
I will be very happy to accept your invitation.,Я с радостью приму ваше приглашение.
I will do all I can for you.,"Я сделаю для тебя всё, что смогу."
I will do all I can for you.,"Я сделаю для тебя всё, что в моих силах."
I will do anything for you.,"Я сделаю для тебя все, что угодно."
I will do anything for you.,"Я сделаю для тебя все, что угодно."
I will do it at the first opportunity.,Я сделаю это при первой возможности.
I will do it at the first opportunity.,Я сделаю это при первой возможности.
I will do it on condition that you support me.,"Я сделаю это при условии, что ты меня поддержишь."
I will do it on condition that you support me.,"Я сделаю это при условии, что ты меня поддержишь."
I will do it on the condition that you help me.,"Я сделаю это при условии, что ты мне поможешь."
I will do it on the condition that you help me.,"Я сделаю это при условии, что ты мне поможешь."
I will do my best to put such an idea out of your head.,"Я сделаю все возможное, чтобы выкинуть эту идею из твоей головы."
I will do my best to put such an idea out of your head.,"Я сделаю все возможное, чтобы выкинуть эту идею из твоей головы."
I will dry your T-shirt.,Я высушу твою футболку.
I will dry your T-shirt.,Я высушу твою футболку.
I will find you a good doctor.,Я найду тебе хорошего врача.
I will find you a good doctor.,Я найду тебе хорошего врача.
I will get even with you some day. Remember it.,Когда-нибудь я с тобой расквитаюсь. Запомни это.
I will get even with you some day. Remember it.,Когда-нибудь я с тобой справлюсь. Запомни это.
I will give you a bicycle for your birthday.,Я дам тебе велосипед на день рождения.
I will give you a bicycle for your birthday.,Я дам тебе велосипед на день рождения.
I will give you a call as soon as I get home.,"Я позвоню тебе, как только вернусь домой."
I will give you a call as soon as I get home.,"Я позвоню тебе, как только вернусь домой."
I will give you a call as soon as I know for sure.,"Я позвоню тебе, как только узнаю наверняка."
I will give you a call as soon as I know for sure.,"Я позвоню тебе, как только узнаю наверняка."
I will give you back the CD in a week.,Через неделю я верну вам диск.
I will give you back the CD in a week.,Через неделю я верну вам диск.
I will give you the money tomorrow.,Я дам тебе деньги завтра.
I will give you the money tomorrow.,Я дам тебе деньги завтра.
I will give you what help I can.,Я дам тебе любую помощь.
I will give you what help I can.,"Я помогу тебе, чем смогу."
I will gladly help you.,Я с радостью помогу тебе.
I will gladly help you.,Я с радостью помогу тебе.
I will go along with your plan.,Я приму твой план.
I will go along with your plan.,Я соглашусь с твоим планом.
I will go cycling even if it rains.,"Я пойду на велосипеде, даже если будет дождь."
I will go cycling even if it rains.,"Я пойду на велосипеде, даже если будет дождь."
I will go even if it rains tomorrow.,"Я пойду, даже если завтра будет дождь."
I will go even if it rains tomorrow.,"Я пойду, даже если завтра будет дождь."
I will go there even if it rains.,"Я пойду туда, даже если будет дождь."
I will go there even if it rains.,"Я пойду туда, даже если будет дождь."
I will go.,Я пойду.
I will go.,Я пойду.
I will have finished the work before you return.,Я закончу работу до твоего возвращения.
I will have finished the work before you return.,Я закончу работу до твоего возвращения.
I will have read Hamlet three times if I read it again.,"Я прочитаю Гамлета три раза, если прочитаю его снова."
I will have read Hamlet three times if I read it again.,"Я прочитаю Гамлета три раза, если прочитаю еще раз."
I will have to fire you if you come late so often.,"Я уволю тебя, если ты так часто опоздаешь."
I will have to fire you if you come late so often.,"Мне придется тебя уволить, если ты так часто опоздаешь."
I will help as much as I can.,"Я помогу, насколько смогу."
I will help as much as I can.,"Я помогу, насколько смогу."
I will help you all I can.,"Я помогу тебе, чем смогу."
I will help you all I can.,"Я помогу тебе, чем смогу."
I will help you as far as I can.,"Я помогу тебе, насколько смогу."
I will help you as far as I can.,"Я помогу тебе, насколько смогу."
I will help you for the sake of our old friendship.,Я помогу тебе ради нашей старой дружбы.
I will help you for the sake of our old friendship.,Я помогу тебе ради нашей старой дружбы.
"I will help you, of course.","Я, конечно, помогу тебе."
"I will help you, of course.","Я помогу тебе, конечно."
I will judge whether it is superior or not.,"Я буду судить, превыше ли это."
I will judge whether it is superior or not.,"Я буду судить, превыше это или нет."
I will lend you money just this once.,Я одолжу тебе денег только в этот раз.
I will lend you money just this once.,Я одолжу тебе денег только в этот раз.
I will miss you all.,Я буду скучать по вам всем.
I will miss you all.,Я буду скучать по вам всем.
I will need an eternity to explain everything.,"Мне понадобится вечность, чтобы всё объяснить."
I will need an eternity to explain everything.,"Мне понадобится вечность, чтобы всё объяснить."
I will never forget seeing you.,Я никогда не забуду увидеть тебя.
I will never forget seeing you.,Я никогда не забуду увидеть тебя.
I will never sell my friend down the river for anything in the world.,Я никогда не продам своего друга вниз по реке за что-либо в мире.
I will never sell my friend down the river for anything in the world.,Я никогда не продам своего друга вниз по реке за что-либо в мире.
I will not be dictated to by some idiot in the personnel department.,Мне не будет навязываться какой-то идиот в отделе кадров.
I will not be dictated to by some idiot in the personnel department.,Меня не будет диктовать какой-то идиот в отделе кадров.
I will play Sudoku then instead of continuing to bother you.,"Я буду играть Судоку, вместо того, чтобы продолжать беспокоить тебя."
I will play Sudoku then instead of continuing to bother you.,"Тогда я буду играть Судоку вместо того, чтобы продолжать беспокоить тебя."
I will put off my departure if it rains.,"Я отложу свой отъезд, если будет дождь."
I will put off my departure if it rains.,"Я отложу свой отъезд, если будет дождь."
I will put this business through in a week.,Я проведу этот бизнес через неделю.
I will put this business through in a week.,Я проведу этот бизнес через неделю.
I will return the book as soon as I can.,"Я верну книгу, как только смогу."
I will return the book as soon as I can.,"Я верну книгу, как только смогу."
I will return to the house before dark.,Я вернусь в дом до темноты.
I will return to the house before dark.,Я вернусь в дом до темноты.
I will see him after I get back.,"Я увижу его после того, как вернусь."
I will see him after I get back.,"Я увижу его после того, как вернусь."
I will see him at the first opportunity.,Я увижу его при первой же возможности.
I will see him at the first opportunity.,Я увижу его при первой же возможности.
I will shoot him.,Я пристрелю его.
I will shoot him.,Я пристрелю его.
I will show you a new approach to foreign language learning.,Я покажу вам новый подход к изучению иностранного языка.
I will show you a new approach to foreign language learning.,Я покажу вам новый подход к изучению иностранного языка.
I will show you how to solve it.,"Я покажу тебе, как это решить."
I will show you how to solve it.,"Я покажу тебе, как его решить."
I will stand by you whatever happens.,"Я буду рядом с тобой, что бы ни случилось."
I will stand by you whatever happens.,"Я буду рядом с тобой, что бы ни случилось."
I will take you home.,Я отвезу тебя домой.
I will take you home.,Я отвезу тебя домой.
I will teach you to play chess.,Я научу тебя играть в шахматы.
I will teach you to play chess.,Я научу тебя играть в шахматы.
I will tell her what to say at the meeting.,"Я скажу ей, что сказать на встрече."
I will tell her what to say at the meeting.,"Я скажу ей, что сказать на встрече."
I will tell you more about Japan.,Я расскажу вам больше о Японии.
I will tell you more about Japan.,Я расскажу вам больше о Японии.
I will try it again.,Я попробую еще раз.
I will try it again.,Я попробую еще раз.
I will wait till you have written the letter.,"Я подожду, пока ты не напишешь письмо."
I will wait till you have written the letter.,"Я подожду, пока ты не напишешь письмо."
I will write Judy a letter.,Я напишу Джуди письмо.
I will write Judy a letter.,Я напишу Джуди письмо.
I wish I could break the habit of smoking.,Хотел бы я разорвать привычку курить.
I wish I could break the habit of smoking.,"Жаль, что я не могу избавиться от привычки курить."
I wish I could give up smoking.,Хотел бы я бросить курить.
I wish I could give up smoking.,Хотел бы я бросить курить.
I wish I could go to Japan.,Хотел бы я поехать в Японию.
I wish I could go to Japan.,Хотел бы я поехать в Японию.
I wish I could go to the party with you.,Хотел бы я пойти с тобой на вечеринку.
I wish I could go to the party with you.,Хотел бы я пойти с тобой на вечеринку.
I wish I could live near your house.,Хотел бы я жить рядом с вашим домом.
I wish I could live near your house.,Хотел бы я жить рядом с твоим домом.
I wish I could speak English.,Хотел бы я говорить по-английски.
I wish I could speak English.,Хотел бы я говорить по-английски.
I wish I could swim.,Хотел бы я плавать.
I wish I could swim.,"Жаль, что я не умею плавать."
I wish I could.,"Хотел бы я, чтобы я мог."
I wish I could.,"Жаль, что я не могу."
I wish I earned more money.,Хотел бы я заработать больше денег.
I wish I earned more money.,Хотел бы я заработать больше денег.
I wish I had a better memory.,Хотел бы я иметь память получше.
I wish I had a better memory.,"Хотел бы я, чтобы у меня была память получше."
I wish I had followed the doctor's advice.,Хотел бы я последовать совету врача.
I wish I had followed the doctor's advice.,"Жаль, что я не последовал совету врача."
I wish I were a good singer.,Хотел бы я быть хорошим певцом.
I wish I were a good singer.,Хотел бы я быть хорошим певцом.
I wish I were a little taller.,Хотел бы я быть немного выше.
I wish I were a little taller.,Хотел бы я быть немного выше.
I wish I were rich.,Хотел бы я быть богатым.
I wish I were rich.,Хотел бы я быть богатым.
I wish I were taller.,Хотел бы я быть выше.
I wish I were taller.,Хотел бы я быть выше.
I wish I were younger.,Хотел бы я быть моложе.
I wish I were younger.,Хотел бы я быть моложе.
I wish Tom were my younger brother.,"Хотел бы я, чтобы Том был моим младшим братом."
I wish Tom were my younger brother.,"Хотел бы я, чтобы Том был моим младшим братом."
I wish it would stop raining.,"Я бы хотел, чтобы дождь перестал."
I wish it would stop raining.,"Я хочу, чтобы дождь прекратился."
I wish our classroom were air-conditioned.,"Жаль, что у нас нет кондиционера."
I wish our classroom were air-conditioned.,"Хотел бы я, чтобы наш класс был кондиционером."
I wish she would stop playing that stupid music.,"Я хочу, чтобы она перестала играть эту глупую музыку."
I wish she would stop playing that stupid music.,"Я хочу, чтобы она перестала играть эту дурацкую музыку."
I wish the rain would stop.,"Я хочу, чтобы дождь прекратился."
I wish the rain would stop.,"Я хочу, чтобы дождь прекратился."
I wish to see my father.,Я хочу видеть своего отца.
I wish to see my father.,Я хочу видеть своего отца.
I wish we had more time.,"Жаль, что у нас нет больше времени."
I wish we had more time.,"Хотел бы я, чтобы у нас было больше времени."
I wish you a Happy New Year.,Желаю тебе с Новым годом.
I wish you a Happy New Year.,Желаю тебе счастливого Нового года.
I wish you could come with us.,"Я бы хотел, чтобы ты поехал с нами."
I wish you could come with us.,"Жаль, что ты не можешь пойти с нами."
I wish you every happiness.,Желаю тебе счастья.
I wish you every happiness.,Желаю тебе счастья.
I wish you had told me that.,"Жаль, что ты мне не сказала."
I wish you had told me that.,"Хотел бы я, чтобы ты мне это сказал."
I wish you had told me the truth then.,"Жаль, что ты не сказал мне правду."
I wish you had told me the truth then.,"Жаль, что ты не сказал мне правду."
I wish you had told me the truth.,"Хотел бы я, чтобы ты сказал мне правду."
I wish you had told me the truth.,"Жаль, что ты не сказал мне правду."
I wish you were close to me.,"Хотел бы я, чтобы ты был рядом со мной."
I wish you were close to me.,"Хотел бы я, чтобы ты была рядом со мной."
I won't ask you anything else today.,Я больше ничего не спрошу.
I won't ask you anything else today.,Сегодня я больше ничего не спрошу.
I won't lose!,Я не проиграю!
I won't lose!,Я не проиграю!
I won't lower myself to his level.,Я не опускаюсь до его уровня.
I won't lower myself to his level.,Я не опускаюсь до его уровня.
I won't talk with him anymore.,Я больше не буду с ним разговаривать.
I won't talk with him anymore.,Я больше не буду с ним разговаривать.
I wonder how long it's going to take.,"Интересно, сколько времени это займет."
I wonder how long it's going to take.,"Интересно, сколько времени это займет."
I wonder if I am made for this world.,"Интересно, создан ли я для этого мира."
I wonder if I am made for this world.,"Интересно, создан ли я для этого мира."
I wonder if she will recognize me after all those years.,"Интересно, узнает ли она меня после стольких лет."
I wonder if she will recognize me after all those years.,"Интересно, узнает ли она меня после стольких лет."
I wonder if they don't have meetings anymore where strong words fly and everyone goes at each other tooth and nail.,"Интересно, не будет ли у них больше встреч, где болтаются сильные слова, и все идут друг к другу в зуб и ногтя."
I wonder if they don't have meetings anymore where strong words fly and everyone goes at each other tooth and nail.,"Интересно, у них больше нет встреч, где болтаются сильные слова, и все ходят друг на друга по зубам и ногтям."
I wonder what happened to Paul.,"Интересно, что случилось с Полом."
I wonder what happened to Paul.,"Интересно, что случилось с Полом."
I wonder what happened.,"Интересно, что случилось."
I wonder what happened.,"Интересно, что случилось."
I wonder what language they speak in Brazil.,"Интересно, на каком языке они говорят в Бразилии."
I wonder what language they speak in Brazil.,"Интересно, на каком языке они говорят в Бразилии."
I wonder whether man could live with only two hours' sleep a night.,"Интересно, может ли человек жить с двумя часами ночи."
I wonder whether man could live with only two hours' sleep a night.,"Интересно, может ли человек жить с двумя часами ночи."
I wonder which of you will win.,"Интересно, кто из вас выиграет."
I wonder which of you will win.,"Интересно, кто из вас выиграет."
I wonder which way is the shortest.,"Интересно, какой путь самый короткий."
I wonder which way is the shortest.,"Интересно, какой путь кратчайший."
I wonder who started that rumor.,"Интересно, кто начал этот слух."
I wonder who started that rumor.,"Интересно, кто начал этот слух."
I wonder who to invite.,"Интересно, кого пригласить."
I wonder who to invite.,"Интересно, кого пригласить."
I wonder why he is so angry.,"Интересно, почему он так зол."
I wonder why he is so angry.,"Интересно, почему он так злится."
I wonder why karaoke is so popular.,"Интересно, почему караоке так популярен."
I wonder why karaoke is so popular.,"Интересно, почему караоке так популярен."
I wonder why nobody told me.,"Интересно, почему мне никто не сказал."
I wonder why nobody told me.,"Интересно, почему мне никто не сказал."
I work even on Sunday.,Я работаю даже в воскресенье.
I work even on Sunday.,Я работаю даже в воскресенье.
I work for a shipping company.,Я работаю на судоходную компанию.
I work for a shipping company.,Я работаю на судоходную компанию.
I worked in a post office during the summer vacation.,Я работал на почте во время летних каникул.
I worked in a post office during the summer vacation.,Я работал на почте во время летних каникул.
I would also like to rent a car.,Я бы тоже хотел взять машину напрокат.
I would also like to rent a car.,Я также хотел бы взять машину напрокат.
I would be more careful if I were you.,Я был бы осторожнее на вашем месте.
I would be more careful if I were you.,Я был бы осторожнее на вашем месте.
I would do anything but that.,"Я бы сделал все, кроме этого."
I would do anything but that.,"Я бы сделал что угодно, кроме этого."
I would do it in a different way than you did.,"Я бы сделал это иначе, чем ты."
I would do it in a different way than you did.,"Я бы сделал это по-другому, чем ты."
"I would gladly help you, only I am too busy now.","Я бы с радостью помог тебе, но я сейчас слишком занят."
"I would gladly help you, only I am too busy now.","Я бы с радостью помог тебе, но сейчас я слишком занят."
I would hate to become just a housewife.,Я бы не хотел стать домохозяйкой.
I would hate to become just a housewife.,Я бы не хотел стать домохозяйкой.
I would have said it exactly like this.,Я бы сказал именно так.
I would have said it exactly like this.,Я бы сказал именно так.
I would like batteries for this device.,Я бы хотел батарейки для этого устройства.
I would like batteries for this device.,Мне нужны батарейки для этого устройства.
I would like to buy some cheese.,Я бы хотел купить сыра.
I would like to buy some cheese.,Я бы хотел купить немного сыра.
I would like to call on you one of these days.,Я бы хотел зайти к вам в один из дней.
I would like to call on you one of these days.,Я хотел бы зайти к вам в один из дней.
I would like to come and see you.,Я бы хотел зайти к тебе.
I would like to come and see you.,Я хотел бы зайти повидаться с тобой.
I would like to come to your party.,Я бы хотел прийти на твою вечеринку.
I would like to come to your party.,Я бы хотел прийти на твою вечеринку.
I would like to give him a present for his birthday.,Я бы хотел подарить ему подарок на день рождения.
I would like to give him a present for his birthday.,Я хотел бы подарить ему подарок на день рождения.
I would like to go home now.,Я бы хотел сейчас домой.
I would like to go home now.,Я бы хотел пойти домой.
I would like to go to France.,Я бы хотел поехать во Францию.
I would like to go to France.,Я хотел бы поехать во Францию.
I would like to go with you.,Я бы хотел пойти с тобой.
I would like to go with you.,Я бы хотел пойти с тобой.
I would like to make a phone call.,Я бы хотел позвонить.
I would like to make a phone call.,Я бы хотел позвонить.
I would like to order drinks now.,Я бы хотел заказать выпивку.
I would like to order drinks now.,Я бы хотел заказать выпивку.
I would like to purchase some boots.,Я бы хотел купить несколько ботинок.
